"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"2004"	"2004"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Hispanic or Latino"	"2135-2"	Suppressed	869	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Hispanic or Latino"	"2135-2"	Suppressed	4110	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Hispanic or Latino"	"2135-2"	Suppressed	865	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Hispanic or Latino"	"2135-2"	Suppressed	319	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Hispanic or Latino"	"2135-2"	Suppressed	3373	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Bullock County, AL"	"01011"	"Hispanic or Latino"	"2135-2"	Suppressed	590	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Butler County, AL"	"01013"	"Hispanic or Latino"	"2135-2"	Suppressed	157	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Hispanic or Latino"	"2135-2"	Suppressed	2504	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Hispanic or Latino"	"2135-2"	Suppressed	415	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"Hispanic or Latino"	"2135-2"	Suppressed	243	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Hispanic or Latino"	"2135-2"	Suppressed	1904	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"Hispanic or Latino"	"2135-2"	Suppressed	91	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Clarke County, AL"	"01025"	"Hispanic or Latino"	"2135-2"	Suppressed	215	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Clay County, AL"	"01027"	"Hispanic or Latino"	"2135-2"	Suppressed	309	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"Hispanic or Latino"	"2135-2"	Suppressed	249	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Hispanic or Latino"	"2135-2"	Suppressed	1741	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Hispanic or Latino"	"2135-2"	Suppressed	819	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"Hispanic or Latino"	"2135-2"	Suppressed	117	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Coosa County, AL"	"01037"	"Hispanic or Latino"	"2135-2"	Suppressed	179	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Covington County, AL"	"01039"	"Hispanic or Latino"	"2135-2"	Suppressed	348	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"Hispanic or Latino"	"2135-2"	Suppressed	128	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Hispanic or Latino"	"2135-2"	Suppressed	2286	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Dale County, AL"	"01045"	"Hispanic or Latino"	"2135-2"	Suppressed	2068	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Hispanic or Latino"	"2135-2"	Suppressed	278	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Hispanic or Latino"	"2135-2"	12	6093	Unreliable	Unreliable	0.0%
	"2004"	"2004"	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Hispanic or Latino"	"2135-2"	Suppressed	1286	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Escambia County, AL"	"01053"	"Hispanic or Latino"	"2135-2"	Suppressed	497	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Hispanic or Latino"	"2135-2"	Suppressed	2475	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Fayette County, AL"	"01057"	"Hispanic or Latino"	"2135-2"	Suppressed	175	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Franklin County, AL"	"01059"	"Hispanic or Latino"	"2135-2"	Suppressed	2947	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Hispanic or Latino"	"2135-2"	Suppressed	608	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Greene County, AL"	"01063"	"Hispanic or Latino"	"2135-2"	Suppressed	58	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Hale County, AL"	"01065"	"Hispanic or Latino"	"2135-2"	Suppressed	153	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Henry County, AL"	"01067"	"Hispanic or Latino"	"2135-2"	Suppressed	339	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Houston County, AL"	"01069"	"Hispanic or Latino"	"2135-2"	Suppressed	1739	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Hispanic or Latino"	"2135-2"	Suppressed	896	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Hispanic or Latino"	"2135-2"	29	16048	180.7	341.1	0.0%
	"2004"	"2004"	"Alabama"	"01"	"Lamar County, AL"	"01075"	"Hispanic or Latino"	"2135-2"	Suppressed	200	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Hispanic or Latino"	"2135-2"	Suppressed	1269	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Hispanic or Latino"	"2135-2"	Suppressed	479	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Lee County, AL"	"01081"	"Hispanic or Latino"	"2135-2"	Suppressed	2637	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Hispanic or Latino"	"2135-2"	Suppressed	2513	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Lowndes County, AL"	"01085"	"Hispanic or Latino"	"2135-2"	Suppressed	78	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Macon County, AL"	"01087"	"Hispanic or Latino"	"2135-2"	Suppressed	186	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Madison County, AL"	"01089"	"Hispanic or Latino"	"2135-2"	14	8338	Unreliable	Unreliable	0.0%
	"2004"	"2004"	"Alabama"	"01"	"Marengo County, AL"	"01091"	"Hispanic or Latino"	"2135-2"	Suppressed	294	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Marion County, AL"	"01093"	"Hispanic or Latino"	"2135-2"	Suppressed	458	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Hispanic or Latino"	"2135-2"	15	6914	Unreliable	Unreliable	0.0%
	"2004"	"2004"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Hispanic or Latino"	"2135-2"	11	6338	Unreliable	Unreliable	0.0%
	"2004"	"2004"	"Alabama"	"01"	"Monroe County, AL"	"01099"	"Hispanic or Latino"	"2135-2"	Suppressed	191	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Hispanic or Latino"	"2135-2"	Suppressed	4617	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Hispanic or Latino"	"2135-2"	13	5430	Unreliable	Unreliable	0.0%
	"2004"	"2004"	"Alabama"	"01"	"Perry County, AL"	"01105"	"Hispanic or Latino"	"2135-2"	Suppressed	105	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Pickens County, AL"	"01107"	"Hispanic or Latino"	"2135-2"	Suppressed	212	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Pike County, AL"	"01109"	"Hispanic or Latino"	"2135-2"	Suppressed	503	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Randolph County, AL"	"01111"	"Hispanic or Latino"	"2135-2"	Suppressed	409	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Russell County, AL"	"01113"	"Hispanic or Latino"	"2135-2"	Suppressed	1152	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Hispanic or Latino"	"2135-2"	Suppressed	987	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Hispanic or Latino"	"2135-2"	Suppressed	5696	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Sumter County, AL"	"01119"	"Hispanic or Latino"	"2135-2"	Suppressed	131	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Talladega County, AL"	"01121"	"Hispanic or Latino"	"2135-2"	Suppressed	1048	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	"Hispanic or Latino"	"2135-2"	Suppressed	558	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Hispanic or Latino"	"2135-2"	Suppressed	3445	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Walker County, AL"	"01127"	"Hispanic or Latino"	"2135-2"	Suppressed	886	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Washington County, AL"	"01129"	"Hispanic or Latino"	"2135-2"	Suppressed	158	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Wilcox County, AL"	"01131"	"Hispanic or Latino"	"2135-2"	Suppressed	92	Suppressed	Suppressed	Suppressed
	"2004"	"2004"	"Alabama"	"01"	"Winston County, AL"	"01133"	"Hispanic or Latino"	"2135-2"	Suppressed	469	Suppressed	Suppressed	Suppressed
